T_exp,P,AM,S,R,EA,T_atm
28.0,2000000000.0,89.3898333333333,0.7825737183219,1.55666666666667,98.9,3
38.0,700000000.0,17.822681856,0.590354212661459,0.761632775119617,68.48,12
3.0,1000000000.0,75.7478333333333,0.777460107561992,1.41166666666667,116.233333333333,3
3.0,1000000000.0,75.7478333333333,0.777460107561992,1.41166666666667,116.233333333333,3
0.7,5400000000.0,83.39017064,1.15786363720925,1.218,163.54,3
1.5,20000000000.0,110.056303,0.985739799344776,1.5257,89.675,3
1.5,20000000000.0,110.056303,0.985739799344776,1.5257,89.675,3
30.0,2500000000.0,94.2181122,1.26181359748313,1.1914,144.533333333333,5
27.0,1480000000.0,67.4025,0.678373316815239,1.295,106.85,40
10.0,1000000000.0,74.5555672,1.46372489833196,1.3275000000000001,105.941666666667,50
6.2,1680000000.0,86.9682,1.29097302543844,1.53333333333333,113.45,25
2.0,350000000.0,81.31469,0.500539939197557,1.825,59.0,16
2.0,350000000.0,81.1273166666667,1.3717486381463,1.14696923076923,60.72,83
2.5,350000000.0,85.856759,1.40444676656526,1.5272800000000002,43.986,16
2.2,970000000.0,82.245,0.916997184325514,1.32066666666667,127.9,14
9.0,1500000000.0,81.5855425,0.914350972423641,1.365,91.95,22
5.0,550000000.0,85.856759,1.40444676656526,1.5272800000000002,43.986,16
10.0,1920000000.0,85.856759,1.40444676656526,1.5272800000000002,43.986,16
9.4,550000000.0,81.20165,1.20709183200118,1.5219,39.6075,8
2.4,350000000.0,82.245,0.916997184325514,1.32066666666667,127.9,14
51.0,6000000000.0,74.47045,0.945666557940276,1.544,73.8,1
265.0,190000000000.0,13.516925,0.888586961581519,1.0634000000000001,61.55,29
40.0,18000000000.0,23.03585,0.614231731864232,0.715,105.0,0
4.1,5000000000.0,30.897275,1.17871929029575,1.215,38.5175,2
2.0,2000000000.0,116.727833333333,0.531746807383173,1.63448275862069,50.5566666666667,3
2.0,1000000000.0,116.727833333333,0.531746807383173,1.63448275862069,50.5566666666667,3
36.7,8900000000.0,67.4025,0.678373316815239,1.295,106.85,40
10.0,500000000.0,56.9482,0.98360648414063,1.4680000000000002,33.5233333333333,11
38.0,40000000000.0,72.77084232,1.16240214683041,1.5356,41.6125,34
37.0,9000000000.0,67.4025,0.678373316815239,1.295,106.85,40
26.0,2000000000.0,79.6459,0.72905136978295,1.0030337078651699,90.8333333333333,0
203.0,155000000000.0,11.41085,0.178645063483647,0.6796,91.8,6
203.0,155000000000.0,32.065,0.0,0.87,201.5,14
1.3,21500000000.0,92.2027175,1.13988601632424,1.057,90.85,25
1.25,3000000000.0,92.0496,1.29424690289748,1.576,49.15,36
1.25,16000000000.0,92.0496,1.29424690289748,1.576,49.15,36
27.0,4000000000.0,71.4178675,1.16709376132578,1.3137662337662301,72.175,25
190.0,150000000000.0,11.41085,0.178645063483647,0.6796,91.8,6
37.0,6000000000.0,67.4025,0.678373316815239,1.295,106.85,40
2.2,700000000.0,63.45885,0.676743180461227,1.4000000000000001,72.65,1
274.0,210000000000.0,13.516925,0.888586961581519,1.0634000000000001,61.55,29
219.0,210000000000.0,9.012182,0.0,1.12,1.5,0
250.0,170000000000.0,13.516925,0.888586961581519,1.0634000000000001,61.55,29
37.0,9000000000.0,67.338826256,1.32229522552455,1.4982,55.0,25
34.0,6700000000.0,67.338826256,1.32229522552455,1.4982,55.0,25
31.0,5500000000.0,89.3898333333333,0.7825737183219,1.55666666666667,98.9,3
37.0,4000000000.0,67.4025,0.678373316815239,1.295,106.85,40
250.0,170000000000.0,13.516925,0.888586961581519,1.0634000000000001,61.55,29
8.0,2000000000.0,99.43275,0.579372676932627,1.7775999999999998,92.3,0
8.0,2000000000.0,99.43275,0.579372676932627,1.7775999999999998,92.3,0
4.6,179000000000.0,173.052735,0.475386426200962,1.6425,43.05,4
280.0,210000000000.0,13.516925,0.888586961581519,1.0634000000000001,61.55,29
37.0,7000000000.0,67.4025,0.678373316815239,1.295,106.85,40
37.0,7000000000.0,67.4025,0.678373316815239,1.295,106.85,40
200.0,155000000000.0,32.065,0.0,0.87,201.5,14
0.4,2800000000.0,91.48215,1.12704043108262,1.4653631578947401,76.8425,9
24.0,13500000000.0,57.4581,0.334896034321695,1.2,133.3,1
11.5,8000000000.0,15.9994,0.0,0.48,142.5,0
40.0,1500000000.0,17.822681856,0.590354212661459,0.761632775119617,68.48,12
21.9,15000000000.0,69.188633856,1.16860818106712,1.50541666666667,65.21,5
12.8,20000000000.0,138.90547,0.0,1.95,49.5,6
10.0,350000000.0,89.3898333333333,0.7825737183219,1.55666666666667,98.9,3
28.0,3200000000.0,72.77084232,1.16240214683041,1.5356,41.6125,34
17.0,89000000000.0,88.89,1.01576336892115,1.526,60.7433333333333,1
16.0,33000000000.0,6.941,0.0,1.67,61.1,0
17.0,157000000000.0,32.065,0.0,0.87,201.5,14
22.0,5000000000.0,57.335882,1.14811136873213,1.2586057692307702,72.6,32
10.0,300000000.0,57.0655,1.46143241879818,1.27875,59.566,24
3.0,4000000000.0,125.335933333333,0.657836312781674,1.57666666666667,62.4333333333333,4
250.0,137000000000.0,13.516925,0.888586961581519,1.0634000000000001,61.55,29
15.0,1480000000.0,67.4025,0.678373316815239,1.295,106.85,40
